Matricule,Date,OTP,Ordre,Reseau,Operation,Pos.Trav.,Composante d'activite,Categorie absence/presence,Heure
411015,01.05.2018,,,4165958,150,PSIM,,,0.909090909090907
411015,02.05.2018,,,4165958,150,PSIM,,,9.4
411015,03.05.2018,,,4165958,150,PSIM,,,9.4
411015,04.05.2018,,,4165958,150,PSIM,,,9.4
411015,05.05.2018,,,4165958,150,PSIM,,,9.4
411015,06.05.2018,,,4165958,150,PSIM,,,9.4
411015,07.05.2018,,,4165958,150,PSIM,,,9.4
411015,08.05.2018,,,4165958,150,PSIM,,,9.4
411015,09.05.2018,,,4165958,150,PSIM,,,9.4
411015,10.05.2018,,,4165958,150,PSIM,,,9.4
411015,11.05.2018,,,4165958,150,PSIM,,,9.4
411015,01.05.2018,,,4165958,170,PSIM,,,0.90909090909091
411015,02.05.2018,,,4165958,170,PSIM,,,2.2
411015,03.05.2018,,,4165958,170,PSIM,,,2.2
411015,04.05.2018,,,4165958,170,PSIM,,,2.2
411015,05.05.2018,,,4165958,170,PSIM,,,2.2
411015,06.05.2018,,,4165958,170,PSIM,,,2.2
411015,07.05.2018,,,4165958,170,PSIM,,,2.2
411015,08.05.2018,,,4165958,170,PSIM,,,2.2
411015,09.05.2018,,,4165958,170,PSIM,,,2.2
411015,10.05.2018,,,4165958,170,PSIM,,,2.2
411015,11.05.2018,,,4165958,170,PSIM,,,2.2
411015,01.05.2018,,,4165958,140,PSIM,,,0.181818181818183
411015,02.05.2018,,,4165958,140,PSIM,,,2.6
411015,03.05.2018,,,4165958,140,PSIM,,,2.6
411015,04.05.2018,,,4165958,140,PSIM,,,2.6
411015,05.05.2018,,,4165958,140,PSIM,,,2.6
411015,06.05.2018,,,4165958,140,PSIM,,,2.6
411015,07.05.2018,,,4165958,140,PSIM,,,2.6
411015,08.05.2018,,,4165958,140,PSIM,,,2.6
411015,09.05.2018,,,4165958,140,PSIM,,,2.6
411015,10.05.2018,,,4165958,140,PSIM,,,2.6
411015,11.05.2018,,,4165958,140,PSIM,,,2.6
411055,01.05.2018,B040C.151,,,,,,C010,0.25
411055,02.05.2018,B040C.151,,,,,,C010,7.1
411055,03.05.2018,B040C.151,,,,,,C010,7.1
411055,04.05.2018,B040C.151,,,,,,C010,7.1
411055,05.05.2018,B040C.151,,,,,,C010,7.1
411055,06.05.2018,B040C.151,,,,,,C010,7.1
411055,07.05.2018,B040C.151,,,,,,C010,7.1
411055,08.05.2018,B040C.151,,,,,,C010,7.1
411055,09.05.2018,B040C.151,,,,,,C010,7.1
411055,10.05.2018,B040C.151,,,,,,C010,7.1
411055,11.05.2018,B040C.151,,,,,,C010,7.1
411055,01.05.2018,,,4166968,280,PSIM,,,0.9375
411055,02.05.2018,,,4166968,280,PSIM,,,2.4
411055,03.05.2018,,,4166968,280,PSIM,,,2.4
411055,04.05.2018,,,4166968,280,PSIM,,,2.4
411055,05.05.2018,,,4166968,280,PSIM,,,2.4
411055,06.05.2018,,,4166968,280,PSIM,,,2.4
411055,07.05.2018,,,4166968,280,PSIM,,,2.4
411055,08.05.2018,,,4166968,280,PSIM,,,2.4
411055,09.05.2018,,,4166968,280,PSIM,,,2.4
411055,10.05.2018,,,4166968,280,PSIM,,,2.4
411055,11.05.2018,,,4166968,280,PSIM,,,2.4
411055,01.05.2018,,,4167729,330,PSIM,,,0.5625
411055,02.05.2018,,,4167729,330,PSIM,,,0.3
411055,03.05.2018,,,4167729,330,PSIM,,,0.3
411055,04.05.2018,,,4167729,330,PSIM,,,0.3
411055,05.05.2018,,,4167729,330,PSIM,,,0.3
411055,06.05.2018,,,4167729,330,PSIM,,,0.3
411055,07.05.2018,,,4167729,330,PSIM,,,0.3
411055,08.05.2018,,,4167729,330,PSIM,,,0.3
411055,09.05.2018,,,4167729,330,PSIM,,,0.3
411055,10.05.2018,,,4167729,330,PSIM,,,0.3
411055,11.05.2018,,,4167729,330,PSIM,,,0.3
411055,01.05.2018,,,4166004,250,PSIM,,,0.34375
411055,02.05.2018,,,4166004,250,PSIM,,,0.5
411055,03.05.2018,,,4166004,250,PSIM,,,0.5
411055,04.05.2018,,,4166004,250,PSIM,,,0.5
411055,05.05.2018,,,4166004,250,PSIM,,,0.5
411055,06.05.2018,,,4166004,250,PSIM,,,0.5
411055,07.05.2018,,,4166004,250,PSIM,,,0.5
411055,08.05.2018,,,4166004,250,PSIM,,,0.5
